slang,formal
Nggak worth it waktunya buat ngurusin hal sepele.,Tidak sepadan dengan waktu yang dihabiskan untuk mengurus hal yang sepele.
"Menurut gue, debat kusir kayak gini nggak worth it waktunya, mending fokus ke hal yang lebih penting.","Menurut saya, perdebatan kecil seperti ini tidak sepadan dengan waktu yang dihabiskan, lebih baik fokus pada hal yang lebih penting."
Bikin penasaran banget ending filmnya.,Akhir filmnya membuat saya sangat penasaran.
"Review-nya bagus-bagus, jadi makin bikin penasaran banget ending film yang katanya plot twist-nya gila.","Ulasannya bagus-bagus, jadi semakin membuat saya sangat penasaran dengan akhir film yang katanya memiliki kejutan alur yang luar biasa."
Nggak nyangka se-ramai ini tempatnya.,Tidak menyangka tempatnya akan seramai ini.
"Baru pertama kali ke sini, nggak nyangka se-ramai ini, padahal hari biasa.","Baru pertama kali datang ke sini, tidak menyangka tempatnya akan seramai ini, padahal hari biasa."
Bikin adem suasana kalau diajak diskusi.,Diajak berdiskusi dengannya membuat suasana menjadi tenang.
"Dia itu selalu memberikan argumen yang logis dan tenang, bikin adem suasana kalau diajak diskusi.","Dia itu selalu memberikan argumen yang logis dan tenang, diajak berdiskusi dengannya membuat suasana menjadi tenang."
Nggak ngeh sama selera humornya.,Saya tidak mengerti selera humornya.
"Kadang dia suka bercanda tapi gue nggak ngeh sama selera humornya, jadi cuma bisa senyum aja.","Terkadang dia suka bercanda tetapi saya tidak mengerti selera humornya, jadi hanya bisa tersenyum saja."
Bikin oleng pertahanan kalau lihat makanan enak.,Melihat makanan enak membuat pertahanan diri saya goyah.
"Lagi diet ketat, eh lihat temen makan martabak, bikin oleng pertahanan banget.","Sedang menjalani diet ketat, eh melihat teman makan martabak, melihat makanan enak membuat pertahanan diri saya goyah."
Nggak ada habisnya memang kalau udah bahas masa lalu.,Memang tidak ada habisnya jika sudah membahas masa lalu.
"Setiap kali ketemu, topik pembicaraannya selalu masa lalu, nggak ada habisnya memang.","Setiap kali bertemu, topik pembicaraannya selalu tentang masa lalu, memang tidak ada habisnya."
Bikin nyesek lihat perjuangan orang tuanya.,Melihat perjuangan orang tuanya membuat saya merasa sedih dan terharu.
"Dengerin cerita tentang perjuangan orang tuanya membesarkan dia, bikin nyesek banget.","Mendengarkan cerita tentang perjuangan orang tuanya membesarkannya, melihat perjuangan orang tuanya membuat saya merasa sedih dan terharu."
Nggak gitu sistem kerjanya di tim kita.,Sistem kerja di tim kita bukan seperti itu.
"Kita punya SOP sendiri, nggak gitu sistem kerjanya di tim kita, harus ikutin aturan yang ada.","Kita memiliki Standar Operasional Prosedur sendiri, sistem kerja di tim kita bukan seperti itu, harus mengikuti aturan yang ada."
Bikin auto semangat kalau dengerin musik upbeat.,Mendengarkan musik dengan tempo cepat otomatis membuat saya bersemangat.
"Pagi-pagi enaknya dengerin musik upbeat, bikin auto semangat buat memulai hari.","Pagi-pagi enaknya mendengarkan musik dengan tempo cepat, otomatis membuat saya bersemangat untuk memulai hari."
Nggak worth the drama deh masalah sekecil ini.,Masalah sekecil ini tidak sepadan dengan drama yang dibuat.
"Cuma salah paham dikit aja dibesar-besarkan, nggak worth the drama deh.","Hanya salah paham sedikit saja dibesar-besarkan, masalah sekecil ini tidak sepadan dengan drama yang dibuat."
Bikin penasaran banget isi paket misterius itu.,Isi paket misterius itu membuat saya sangat penasaran.
"Tiba-tiba ada paket nggak dikenal dateng, bikin penasaran banget isinya apaan.","Tiba-tiba ada paket tidak dikenal datang, isi paket misterius itu membuat saya sangat penasaran isinya apa."
Nggak nyangka se-pedas ini sambalnya.,Tidak menyangka sambalnya akan sepedas ini.
"Udah kelihatan merah merona, pas dicoba nggak nyangka se-pedas ini, sampai keluar air mata.","Sudah terlihat merah menyala, saat dicoba tidak menyangka akan sepedas ini, sampai keluar air mata."
Bikin adem hati lihat kebersamaan mereka.,Melihat kebersamaan mereka membuat hati menjadi tenang.
"Foto keluarga mereka selalu bikin adem hati, kelihatan harmonis banget.","Foto keluarga mereka selalu membuat hati menjadi tenang, terlihat sangat harmonis."
Nggak ngaruh blass sama hidup gue.,Sama sekali tidak berpengaruh pada hidup saya.
Mau dia ngomong apa juga nggak ngaruh blass sama hidup gue yang penting gue bahagia.,"Apa pun yang dia katakan sama sekali tidak berpengaruh pada hidup saya, yang terpenting adalah kebahagiaan saya sendiri."
Bikin auto ngakak lihat ekspresinya.,Melihat ekspresinya otomatis membuat saya tertawa terbahak-bahak.
"Pas dia jatuh dari kursi, ekspresinya itu lho bikin auto ngakak, nggak bisa ditahan.","Saat dia terjatuh dari kursi, ekspresinya itu sungguh membuat saya tertawa terbahak-bahak, tidak bisa ditahan."
Nggak kuat iman lihat promo buy one get one.,Saya tidak kuat menahan keinginan untuk membeli saat melihat promo beli satu gratis satu.
"Lagi berusaha hemat, eh ada promo buy one get one, nggak kuat iman deh jadinya.","Sedang berusaha untuk berhemat, tetapi ada promo beli satu gratis satu, saya tidak kuat menahan keinginan untuk membelinya."
Bikin overthinking sebelum tidur.,Membuat saya berpikir berlebihan sebelum tidur.
"Mikirin kejadian hari ini bikin overthinking sebelum tidur, jadi susah nyenyak.","Memikirkan kejadian hari ini membuat saya berpikir berlebihan sebelum tidur, sehingga sulit untuk tidur nyenyak."
Nggak nyangka se-perfect ini hasilnya setelah direnovasi.,Tidak menyangka hasilnya akan sesempurna ini setelah direnovasi.
"Dulu rumahnya biasa aja, tapi setelah direnovasi nggak nyangka se-perfect ini, jadi pangling.","Dulu rumahnya biasa saja, tetapi setelah direnovasi tidak menyangka hasilnya akan sesempurna ini, sampai tidak mengenalinya."
Bikin salfok deh warna rambut barunya.,Warna rambut barunya membuat salah fokus.
"Tiba-tiba rambutnya jadi ungu, bikin salfok deh dari tadi pengen nanya.","Tiba-tiba warna rambutnya menjadi ungu, membuat salah fokus sejak tadi saya ingin bertanya."
Nggak gitu konsep acaranya dari awal.,Konsep acaranya dari awal bukan seperti itu.
"Kita udah meeting berkali-kali, tapi kok jadinya gini, nggak gitu konsep acaranya dari awal.","Kita sudah melakukan rapat berkali-kali, tetapi mengapa hasilnya jadi seperti ini, konsep acaranya dari awal bukan seperti itu."
Bikin good mood seharian dengerin playlist ini.,Mendengarkan daftar putar ini membuat suasana hati baik sepanjang hari.
"Playlist di Spotify ini bener-bener bikin good mood seharian, isinya lagu-lagu ceria semua.","Daftar putar di Spotify ini benar-benar membuat suasana hati baik sepanjang hari, isinya lagu-lagu ceria semua."
Nggak worth it capeknya buat hasil yang nggak seberapa.,Tidak sepadan dengan rasa lelahnya untuk hasil yang tidak seberapa.
"Udah lembur sampai pagi, eh hasilnya cuma gini, nggak worth it capeknya deh.","Sudah bekerja lembur sampai pagi, tetapi hasilnya hanya seperti ini, tidak sepadan dengan rasa lelahnya."
Bikin penasaran banget isi surat rahasia itu.,Isi surat rahasia itu membuat saya sangat penasaran.
"Ada surat tanpa nama di meja, bikin penasaran banget isinya apaan ya.","Ada surat tanpa nama di meja, isi surat rahasia itu membuat saya sangat penasaran isinya apa."
Nggak nyangka se-deket ini rumahnya sama kantor.,Tidak menyangka rumahnya akan sedekat ini dengan kantor.
"Baru tahu ternyata rumahnya cuma di komplek sebelah, nggak nyangka se-deket ini.","Baru tahu ternyata rumahnya hanya di kompleks sebelah, tidak menyangka akan sedekat ini."
Bikin adem pikiran kalau lihat pemandangan sawah.,Melihat pemandangan sawah membuat pikiran menjadi tenang.
"Pulang kampung selalu bikin adem pikiran, apalagi lihat pemandangan sawah yang hijau.","Pulang kampung selalu membuat pikiran menjadi tenang, apalagi melihat pemandangan sawah yang hijau."
Nggak ngeh sama maksud dari sindirannya.,Saya tidak mengerti maksud dari sindirannya.
"Dia ngomongnya penuh kiasan, gue nggak ngeh sama sekali maksud dari sindirannya ke siapa.","Dia berbicara penuh kiasan, saya sama sekali tidak mengerti maksud dari sindirannya ditujukan kepada siapa."
Bikin oleng dompet lihat diskon akhir tahun.,Melihat diskon akhir tahun membuat kondisi keuangan saya goyah.
"Setiap akhir tahun selalu ada diskon gede-gedean, bikin oleng dompet deh jadinya pengen belanja terus.","Setiap akhir tahun selalu ada diskon besar-besaran, melihat diskon akhir tahun membuat kondisi keuangan saya goyah sehingga ingin berbelanja terus."
Nggak ada kapoknya memang kalau udah urusan makanan enak.,Memang tidak pernah jera jika sudah urusan makanan enak.
"Udah diet berkali-kali, tapi kalau ada makanan enak nggak ada kapoknya deh buat nyobain.","Sudah berkali-kali mencoba diet, tetapi jika ada makanan enak memang tidak pernah jera untuk mencobanya."
Bikin nyesek lihat perjuangan atlet difabel.,Melihat perjuangan atlet penyandang disabilitas membuat saya merasa sedih dan kagum.
Liputan tentang atlet difabel yang berjuang keras meraih medali bikin nyesek sekaligus kagum.,Liputan tentang atlet penyandang disabilitas yang berjuang keras meraih medali membuat saya merasa sedih sekaligus kagum.
Nggak gitu flow-nya percakapan kita tadi.,Alur percakapan kita tadi bukan seperti itu.
"Tadi kita lagi bahas A, kok tiba-tiba jadi bahas Z, nggak gitu flow-nya.","Tadi kita sedang membahas topik A, mengapa tiba-tiba menjadi membahas topik Z, alur percakapan kita tadi bukan seperti itu."
Bikin auto semangat kalau dapat kabar gembira.,Mendapatkan kabar gembira otomatis membuat saya bersemangat.
"Dapat kabar diterima kerja, langsung bikin auto semangat buat nyiapin berkas-berkas.","Mendapatkan kabar diterima bekerja, langsung otomatis membuat saya bersemangat untuk menyiapkan berkas-berkas."
Nggak worth the effort buat berdebat sama orang keras kepala.,Tidak sepadan dengan usaha untuk berdebat dengan orang yang keras kepala.
"Percuma aja dilanjutin, nggak worth the effort buat berdebat sama orang yang nggak mau dengerin pendapat orang lain.","Percuma saja dilanjutkan, tidak sepadan dengan usaha untuk berdebat dengan orang yang tidak mau mendengarkan pendapat orang lain."
Bikin penasaran banget isi DM dari dia.,Isi pesan pribadi dari dia membuat saya sangat penasaran.
"Tiba-tiba dia nge-DM, bikin penasaran banget sih isinya apaan.","Tiba-tiba dia mengirim pesan pribadi, isi pesan dari dia membuat saya sangat penasaran isinya apa."
Nggak nyangka se-dingin ini udaranya di sini.,Tidak menyangka udaranya akan sedingin ini di sini.
"Kirain cuma sejuk biasa, ternyata nggak nyangka se-dingin ini, sampai harus pakai jaket tebal.","Saya kira hanya sejuk biasa, ternyata tidak menyangka udaranya akan sedingin ini, sampai harus memakai jaket tebal."
Bikin adem hati lihat anak-anak bermain riang.,Melihat anak-anak bermain dengan riang membuat hati menjadi tenang.
"Di taman itu banyak anak-anak bermain, lihatnya bikin adem hati, jadi inget masa kecil.","Di taman itu banyak anak-anak bermain, melihatnya membuat hati menjadi tenang, jadi teringat masa kecil."
Nggak ngeh sama tren fashion sekarang.,Saya tidak mengerti tren mode saat ini.
"Banyak model baju yang aneh-aneh, gue udah nggak ngeh lagi sama tren fashion sekarang.","Banyak model baju yang aneh-aneh, saya sudah tidak mengerti lagi dengan tren mode saat ini."
Bikin oleng pikiran kalau kurang tidur.,Kurang tidur membuat pikiran saya tidak fokus.
"Semalaman begadang ngerjain tugas, paginya bikin oleng pikiran, susah konsentrasi.","Semalaman begadang mengerjakan tugas, paginya kurang tidur membuat pikiran saya tidak fokus, sulit berkonsentrasi."
Nggak ada habisnya memang kalau udah ngobrol sama dia.,Memang tidak ada habisnya jika sudah mengobrol dengannya.
"Kalau udah ketemu dia, bisa ngobrol berjam-jam, topiknya selalu seru, nggak ada habisnya deh.","Jika sudah bertemu dengannya, bisa mengobrol berjam-jam, topiknya selalu menarik, memang tidak ada habisnya."
Bikin nyesek lihat hewan terlantar di jalan.,Melihat hewan terlantar di jalan membuat saya merasa sedih.
"Sering lihat kucing atau anjing terlantar di jalan, bikin nyesek banget rasanya.","Saya sering melihat kucing atau anjing terlantar di jalan, melihat hewan terlantar di jalan membuat saya merasa sangat sedih."
Nggak gitu rule-nya di komunitas ini.,Aturan di komunitas ini bukan seperti itu.
"Sebelum posting, baca dulu rule-nya, nggak gitu cara interaksi di komunitas ini.","Sebelum mengunggah sesuatu, baca dulu aturannya, cara berinteraksi di komunitas ini bukan seperti itu."
Bikin auto semangat kalau dapat dukungan dari orang tersayang.,Mendapatkan dukungan dari orang tersayang otomatis membuat saya bersemangat.
"Tahu dia selalu support, bikin auto semangat buat ngejar impian.","Mengetahui dia selalu mendukung, otomatis membuat saya bersemangat untuk mengejar impian."
Nggak worth the argument deh masalah sepele kayak gini.,Masalah sepele seperti ini tidak sepadan dengan argumen yang terjadi.
"Cuma beda pendapat soal film aja sampai berantem, nggak worth the argument banget.","Hanya berbeda pendapat soal film saja sampai bertengkar, masalah sepele seperti ini tidak sepadan dengan argumen yang terjadi."
Bikin penasaran banget kelanjutan hubungan mereka.,Kelanjutan hubungan mereka membuat saya sangat penasaran.
"Dari awal udah kelihatan deket, jadi bikin penasaran banget bakal jadian apa nggak.","Dari awal sudah terlihat dekat, jadi kelanjutan hubungan mereka membuat saya sangat penasaran apakah akan menjadi pasangan atau tidak."
Nggak nyangka se-sepi ini pantainya di hari libur.,Tidak menyangka pantainya akan sesepi ini di hari libur.
"Biasanya rame banget, tapi kok tumben se-sepi ini, jadi enak buat santai.","Biasanya ramai sekali, tetapi mengapa tumben sesepi ini, jadi enak untuk bersantai."
Bikin adem hati lihat orang berbagi ke sesama.,Melihat orang berbagi kepada sesama membuat hati menjadi tenang.
"Aksi sosial mereka bener-bener bikin adem hati, semoga makin banyak orang yang tergerak.","Aksi sosial mereka benar-benar membuat hati menjadi tenang, semoga semakin banyak orang yang tergerak."
Nggak ngeh sama istilah-istilah kekinian.,Saya tidak mengerti istilah-istilah yang sedang populer saat ini.
"Anak muda sekarang banyak banget istilah baru, gue udah nggak ngeh lagi artinya apa.","Anak muda zaman sekarang banyak sekali istilah baru, saya sudah tidak mengerti lagi artinya apa."
Bikin oleng perut kalau makan pedas terus.,Makan makanan pedas terus-menerus membuat perut saya tidak nyaman.
"Doyan banget pedas, tapi kalau tiap hari makan terus bikin oleng perut juga akhirnya.","Sangat suka makanan pedas, tetapi jika setiap hari makan terus-menerus akhirnya juga membuat perut saya tidak nyaman."
Nggak ada habisnya memang kalau udah curhat sama sahabat.,Memang tidak ada habisnya jika sudah berbagi cerita dengan sahabat.
"Kalau udah ketemu sahabat, bisa curhat dari A sampai Z, nggak ada habisnya deh pokoknya.","Jika sudah bertemu sahabat, bisa berbagi cerita dari awal sampai akhir, pokoknya memang tidak ada habisnya."
Bikin nyesek lihat anak kecil jualan di jalan.,Melihat anak kecil berjualan di jalan membuat saya merasa sedih.
"Sering lihat anak kecil nawarin dagangan di lampu merah, bikin nyesek banget.","Saya sering melihat anak kecil menawarkan dagangan di lampu merah, melihat anak kecil berjualan di jalan membuat saya merasa sangat sedih."
Nggak gitu sistem voting di acara ini.,Sistem pemungutan suara di acara ini bukan seperti itu.
"Cara kamu salah, nggak gitu sistem voting di acara ini, ada tahapannya.","Cara kamu salah, sistem pemungutan suara di acara ini bukan seperti itu, ada tahapannya yang harus diikuti."
Bikin auto semangat kalau dapat pujian dari atasan.,Mendapatkan pujian dari atasan otomatis membuat saya bersemangat.
"Dapat feedback positif dari bos, langsung bikin auto semangat buat kerja lebih baik lagi.","Mendapatkan umpan balik positif dari atasan, langsung otomatis membuat saya bersemangat untuk bekerja lebih baik lagi."
Nggak worth the stress deh mikirin hal yang belum pasti.,Tidak sepadan dengan tekanan yang dirasakan untuk memikirkan hal yang belum pasti.
"Jangan terlalu dipikirin, nggak worth the stress deh, fokus aja sama apa yang ada di depan mata.","Jangan terlalu dipikirkan, tidak sepadan dengan tekanan yang dirasakan, fokus saja pada apa yang ada di depan mata."
Bikin penasaran banget hadiah di dalam kotak itu.,Hadiah di dalam kotak itu membuat saya sangat penasaran.
"Ada kotak gede dibungkus rapi, bikin penasaran banget isinya apaan ya.","Ada kotak besar dibungkus rapi, hadiah di dalam kotak itu membuat saya sangat penasaran isinya apa."
Nggak nyangka se-indah ini pemandangan dari puncak gunung.,Tidak menyangka pemandangan dari puncak gunung akan seindah ini.
"Capek banget mendaki, tapi pas sampai puncak, nggak nyangka pemandangannya seindah ini, semua rasa lelah hilang.","Sangat lelah mendaki, tetapi saat sampai puncak, tidak menyangka pemandangannya akan seindah ini, semua rasa lelah hilang."
Bikin adem hati lihat keluarga berkumpul bersama.,Melihat keluarga berkumpul bersama membuat hati menjadi tenang.
"Momen lebaran selalu bikin adem hati, bisa kumpul semua keluarga besar.","Momen Idulfitri selalu membuat hati menjadi tenang, bisa berkumpul dengan seluruh keluarga besar."
